time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-06-02T10:19:18.760Z,33.4855,-116.4965,13.114,0.79,ml,12,94,0.07738,0.08,ci,ci37392384,2015-06-02T10:23:23.899Z,"18km ESE of Anza, California",earthquake
2015-06-02T10:18:10.290Z,33.9976667,-116.8415,14.745,1.07,ml,24,70,0.04672,0.18,ci,ci37392376,2015-06-02T10:22:20.933Z,"9km NNE of Banning, California",earthquake
2015-06-02T10:02:09.750Z,35.8611667,-117.6916667,2.976,2.39,ml,28,57,0.07934,0.17,ci,ci37392368,2015-06-02T10:12:59.270Z,"21km ESE of Little Lake, California",earthquake
2015-06-02T09:55:31.370Z,36.5681648,-121.1415024,8.47,1.01,md,8,93,0.03968,0.01,nc,nc72459801,2015-06-02T09:57:04.930Z,"22km NE of Soledad, California",earthquake
2015-06-02T09:50:43.790Z,38.7416649,-122.7296677,2.26,1.16,md,9,174,0.01603,0.03,nc,nc72459796,2015-06-02T09:52:19.910Z,"4km SSE of The Geysers, California",earthquake
2015-06-02T09:43:52.310Z,37.7536659,-122.5721664,8.53,1.3,md,13,102,0.1572,0.04,nc,nc72459791,2015-06-02T09:45:28.850Z,"10km NW of Broadmoor, California",earthquake
2015-06-02T09:41:22.000Z,63.9071,-149.8529,10.8,0.8,ml,,,,0.29,ak,ak11615138,2015-06-02T10:00:33.872Z,"43km W of Healy, Alaska",earthquake
2015-06-02T09:31:53.000Z,61.4625,-148.8495,34.3,0.9,ml,,,,0.4,ak,ak11615135,2015-06-02T10:00:29.573Z,"13km SE of Butte, Alaska",earthquake
2015-06-02T09:28:54.000Z,60.9723,-151.8653,79.9,1.6,ml,,,,0.54,ak,ak11615133,2015-06-02T10:00:35.004Z,"44km NW of Nikiski, Alaska",earthquake
2015-06-02T09:24:03.130Z,36.5083333,-118.3556667,3.807,1.63,ml,20,70,0.2323,0.17,ci,ci37392360,2015-06-02T09:34:35.140Z,"27km WSW of Lone Pine, California",earthquake
2015-06-02T09:17:36.000Z,56.4368,-156.3531,78.6,2.6,ml,,,,0.91,ak,ak11615131,2015-06-02T10:01:08.350Z,"81km NNW of Chirikof Island, Alaska",earthquake
2015-06-02T09:15:59.310Z,33.4113333,-116.866,16.643,0.6,ml,16,77,0.05764,0.2,ci,ci37392352,2015-06-02T09:20:36.127Z,"4km S of Aguanga, California",earthquake
2015-06-02T09:15:01.470Z,33.409,-116.8706667,7.658,0.92,ml,20,48,0.05565,0.22,ci,ci37392344,2015-06-02T09:19:02.935Z,"4km S of Aguanga, California",earthquake
2015-06-02T09:10:58.790Z,38.7509995,-122.7138367,1.81,0.89,md,7,188,0.01648,0.03,nc,nc72459776,2015-06-02T09:12:33.650Z,"4km SE of The Geysers, California",earthquake
2015-06-02T08:57:35.600Z,38.8250008,-122.8006668,3.35,1.01,md,18,76,0.01563,0.02,nc,nc72459771,2015-06-02T08:59:08.590Z,"6km W of Cobb, California",earthquake
2015-06-02T08:54:15.330Z,33.0668333,-116.6066667,15.599,0.89,ml,19,100,0.01605,0.2,ci,ci37392336,2015-06-02T08:58:17.628Z,"1km SSW of Julian, California",earthquake
2015-06-02T08:34:36.370Z,36.0584984,-120.3566666,8.26,1.47,md,8,217,0.03922,0.02,nc,nc72459766,2015-06-02T08:36:08.430Z,"9km S of Coalinga, California",earthquake
2015-06-02T08:22:39.070Z,-3.9906,-76.0851,119.32,5,mb,,97,4.819,1.04,us,us20002l6x,2015-06-02T08:40:21.684Z,"115km NE of Barranca, Peru",earthquake
2015-06-02T08:18:03.000Z,63.9627,-149.9522,7.3,2.6,ml,,,,1.14,ak,ak11615100,2015-06-02T09:01:56.463Z,"49km WNW of Healy, Alaska",earthquake
2015-06-02T08:12:52.000Z,64.7444,-151.3392,2.3,1.3,ml,,,,0.44,ak,ak11615098,2015-06-02T08:34:16.786Z,"44km SW of Manley Hot Springs, Alaska",earthquake
2015-06-02T07:55:51.500Z,36.929,-97.6236,5,3.7,mb_lg,,26,0.143,0.72,us,us20002l6t,2015-06-02T09:57:13.005Z,"11km S of Caldwell, Kansas",earthquake
2015-06-02T07:31:32.710Z,72.3605,2.0375,10,4.8,mb,,68,7.018,1.04,us,us20002l6m,2015-06-02T07:49:19.180Z,"Norwegian Sea",earthquake
2015-06-02T07:28:41.000Z,57.0122,-155.8399,10.3,2.2,ml,,,,0.18,ak,ak11615089,2015-06-02T08:06:45.493Z,"126km WSW of Larsen Bay, Alaska",earthquake
2015-06-02T07:26:33.230Z,35.8551667,-117.6883333,2.372,1.91,ml,22,100,0.07767,0.18,ci,ci37392328,2015-06-02T07:30:25.110Z,"22km ESE of Little Lake, California",earthquake
