time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-06-30T02:04:23.560Z,36.5533333,-121.1446686,3.74,1.73,md,12,56,0.06626,0.07,nc,nc72474676,2015-06-30T02:06:00.550Z,"21km NE of Soledad, California",earthquake
2015-06-30T01:24:31.780Z,33.1908333,-116.1915,-0.005,1.9,ml,9,173,0.3845,0.19,ci,ci37194175,2015-06-30T02:03:12.191Z,"8km NW of Ocotillo Wells, California",earthquake
2015-06-30T01:15:48.996Z,36.7304,-115.7703,0,0.76,ml,6,294.64,0.172,,nn,nn00500311,2015-06-30T01:17:03.084Z,"61km NNE of Pahrump, Nevada",earthquake
2015-06-30T01:09:47.430Z,34.3081667,-118.444,2.924,1.31,ml,16,61,0.1063,0.22,ci,ci37194167,2015-06-30T01:14:09.672Z,"3km N of Pacoima, California",earthquake
2015-06-30T01:06:11.680Z,46.6925,-122.3755,19.64,0.82,md,18,117,0.1896,0.19,uw,uw61035942,2015-06-30T01:44:31.320Z,"16km NNW of Morton, Washington",earthquake
2015-06-30T01:01:30.690Z,33.644,-116.6686667,0.02,0.37,ml,17,116,0.0704,0.31,ci,ci37194159,2015-06-30T01:05:47.124Z,"10km N of Anza, California",earthquake
2015-06-30T01:00:10.000Z,63.5193,-147.3947,20.9,1.9,ml,,,,1.17,ak,ak11638198,2015-06-30T01:22:50.716Z,"78km E of Cantwell, Alaska",earthquake
2015-06-30T00:44:36.450Z,-35.4511,-179.571,35.58,4.6,mb,,196,2.713,1.04,us,us10002mgs,2015-06-30T01:17:44.183Z,East of the North Island of New Zealand,earthquake
2015-06-30T00:36:43.730Z,38.7885017,-122.7743301,2.65,1.11,md,14,100,0.0116,0.02,nc,nc72474611,2015-06-30T00:38:19.880Z,"1km NW of The Geysers, California",earthquake
2015-06-30T00:21:36.740Z,37.3691673,-118.3724976,6.19,1.47,md,8,170,0.07467,0.04,nc,nc72474601,2015-06-30T00:23:10.760Z,"2km ENE of Bishop, California",earthquake
2015-06-30T00:05:18.000Z,61.6029,-149.8995,46.2,1.4,ml,,,,0.28,ak,ak11638194,2015-06-30T00:20:34.105Z,"5km SW of Houston, Alaska",earthquake
2015-06-30T00:03:40.570Z,38.8063316,-122.8231659,2.43,0.88,md,10,121,0.005337,0.04,nc,nc72474566,2015-06-30T00:05:15.660Z,"6km WNW of The Geysers, California",earthquake
2015-06-29T23:59:02.580Z,38.814167,-122.8151703,3.2,0.88,md,13,113,0.01671,0.03,nc,nc72474556,2015-06-30T00:00:35.630Z,"6km NW of The Geysers, California",earthquake
2015-06-29T23:51:01.700Z,33.598,-116.8131667,9.378,0.97,ml,35,78,0.04118,0.12,ci,ci37194143,2015-06-29T23:55:10.150Z,"14km WNW of Anza, California",earthquake
2015-06-29T23:47:37.000Z,61.8348,-148.5393,4.5,1.1,ml,,,,0.52,ak,ak11638189,2015-06-30T00:34:01.910Z,"16km ENE of Sutton-Alpine, Alaska",earthquake
2015-06-29T23:44:22.130Z,38.8381653,-122.8395004,2.35,0.57,md,11,107,0.003163,0.02,nc,nc72474551,2015-06-29T23:45:55.510Z,"9km NW of The Geysers, California",earthquake
2015-06-29T23:28:57.730Z,38.8171654,-122.8199997,2.43,1.32,md,19,114,0.02137,0.03,nc,nc72474546,2015-06-29T23:30:30.420Z,"7km NW of The Geysers, California",earthquake
2015-06-29T23:27:29.920Z,40.8625,-118.739,0,1.54,ml,6,211.07,1.236,,nn,nn00500305,2015-06-29T23:30:01.641Z,"62km ENE of Gerlach-Empire, Nevada",earthquake
2015-06-29T23:21:07.580Z,33.2406667,-116.764,11.803,0.95,ml,26,45,0.006413,0.16,ci,ci37194127,2015-06-29T23:25:04.208Z,"0km SW of Lake Henshaw, California",earthquake
2015-06-29T23:11:50.780Z,38.8161659,-122.8174973,3.64,0.43,md,10,75,0.009259,0.02,nc,nc72474511,2015-06-29T23:13:25.270Z,"6km NW of The Geysers, California",earthquake
2015-06-29T23:08:40.200Z,38.8144989,-122.8141632,3.27,1.12,md,19,84,0.00944,0.02,nc,nc72474506,2015-06-29T23:10:16.240Z,"6km NW of The Geysers, California",earthquake
2015-06-29T23:08:18.320Z,38.8139992,-122.8136673,3.28,1.06,md,18,86,0.009793,0.02,nc,nc72474501,2015-06-29T23:09:56.230Z,"6km NW of The Geysers, California",earthquake
2015-06-29T23:08:05.670Z,38.8168335,-122.8118362,2.82,1.06,md,13,116,0.006695,0.03,nc,nc72474496,2015-06-29T23:09:41.210Z,"6km NW of The Geysers, California",earthquake
2015-06-29T23:06:28.650Z,35.0041667,-118.4958333,8.605,1.21,ml,18,68,0.1274,0.23,ci,ci37194103,2015-06-29T23:10:36.258Z,"15km SSW of Tehachapi, California",earthquake
2015-06-29T22:51:19.000Z,19.642,-66.1166,66,3.4,Md,13,284.4,1.2226071,0.3,pr,pr15180008,2015-06-30T01:42:24.245Z,"130km N of San Juan, Puerto Rico",earthquake
2015-06-29T22:43:25.910Z,34.1403333,-117.3268333,0.035,1.04,ml,20,69,0.06634,0.21,ci,ci37194095,2015-06-29T22:47:49.942Z,"2km SE of Muscoy, California",earthquake
2015-06-29T22:34:04.663Z,38.8346,-117.0764,15,1.62,ml,8,186.83,0.825,,nn,nn00500295,2015-06-29T22:36:07.977Z,"73km E of Gabbs, Nevada",earthquake
2015-06-29T22:20:55.110Z,45.9885,27.1955,12.12,4.2,mb,,52,1.007,0.68,us,us10002mfv,2015-06-29T22:38:34.820Z,"1km SSW of Pufesti, Romania",earthquake
2015-06-29T22:15:08.840Z,36.5139999,-120.8320007,7.18,1.94,md,10,192,0.1521,0.13,nc,nc72474426,2015-06-29T22:16:45.800Z,"42km ENE of Greenfield, California",earthquake
2015-06-29T22:09:49.430Z,33.6091667,-116.809,8.486,0.23,ml,14,150,0.03847,0.21,ci,ci37194071,2015-06-29T22:13:54.111Z,"14km WNW of Anza, California",earthquake
2015-06-29T22:07:48.050Z,36.6932,71.2837,189.53,5.5,mb,,44,0.712,0.96,us,us10002mft,2015-06-30T01:33:44.923Z,"22km W of Ashkasham, Afghanistan",earthquake
2015-06-29T21:57:34.520Z,34.3346667,-116.9433333,0.009,1.78,ml,38,53,0.07457,0.24,ci,ci37194063,2015-06-29T22:02:14.394Z,"10km NNW of Big Bear Lake, California",earthquake
2015-06-29T21:54:43.000Z,60.0451,-151.1393,40.2,1.9,ml,,,,0.69,ak,ak11638003,2015-06-29T22:14:19.523Z,"35km NNE of Fritz Creek, Alaska",earthquake
2015-06-29T21:46:25.030Z,27.5452,85.7453,15.04,4.3,mb,,141,0.416,0.67,us,us10002mfm,2015-06-29T22:09:22.470Z,"23km E of Panaoti, Nepal",earthquake
2015-06-29T21:10:11.715Z,36.7216,-117.2666,12.2971,1.03,ml,11,118.03,0.076,0.1303,nn,nn00500280,2015-06-29T23:31:20.306Z,"49km WSW of Beatty, Nevada",earthquake
2015-06-29T20:55:43.640Z,33.4723333,-117.4071667,0.02,1.47,ml,18,140,0.177,0.32,ci,ci37194015,2015-06-29T21:00:10.518Z,"18km NW of Fallbrook, California",earthquake
2015-06-29T20:55:04.390Z,39.9248,33.1348,2,3.3,ml,,,,0.52,us,us10002mfj,2015-06-29T21:31:43.152Z,"8km W of Elmadag, Turkey",earthquake
2015-06-29T20:53:02.820Z,45.4241676,-120.7816696,0.04,2.51,md,9,107,0.05746,0.68,uw,uw61035887,2015-06-29T20:57:23.883Z,"7km SSW of Moro, Oregon",earthquake
2015-06-29T20:50:09.010Z,33.0466667,-117.7318333,0.004,2.66,ml,27,170,0.4352,0.43,ci,ci37194007,2015-06-29T21:00:30.096Z,"38km WSW of Carlsbad, California",earthquake
2015-06-29T20:43:17.000Z,64.959,-147.452,0.4,1.5,ml,,,,0.65,ak,ak11637966,2015-06-29T21:00:16.419Z,"18km NE of Fairbanks, Alaska",earthquake
2015-06-29T20:38:48.390Z,33.544,-116.4108333,9.719,0.43,ml,16,104,0.02401,0.14,ci,ci37193999,2015-06-29T20:42:44.660Z,"16km SW of La Quinta, California",earthquake
2015-06-29T20:11:55.540Z,37.6338348,-118.8789978,8.44,1.7,md,25,84,0.01765,0.03,nc,nc72474416,2015-06-29T20:15:02.210Z,"8km ESE of Mammoth Lakes, California",earthquake
2015-06-29T20:10:06.000Z,61.8548,-151.6234,71.3,1.4,ml,,,,0.43,ak,ak11637963,2015-06-29T20:23:19.793Z,"84km W of Willow, Alaska",earthquake
2015-06-29T19:45:16.000Z,61.6087,-146.6522,26.9,1.3,ml,,,,0.47,ak,ak11637962,2015-06-29T19:54:56.818Z,"55km NNW of Valdez, Alaska",earthquake
2015-06-29T19:26:50.000Z,63.2275,-150.5867,133.8,1.1,ml,,,,0.25,ak,ak11637960,2015-06-29T19:42:35.191Z,"84km WSW of Cantwell, Alaska",earthquake
2015-06-29T19:25:18.820Z,38.7916679,-122.7628326,2.11,0.9,md,11,78,0.01966,0.02,nc,nc72474401,2015-06-29T19:26:55.580Z,"1km NNW of The Geysers, California",earthquake
2015-06-29T19:22:15.000Z,53.788,-148.7545,25,3.5,ml,,,,0.69,ak,ak11637959,2015-06-29T21:18:01.833Z,South of Alaska,earthquake
2015-06-29T19:20:32.000Z,62.1457,-151.3076,62.9,1.3,ml,,,,0.38,ak,ak11637958,2015-06-29T19:42:34.487Z,"65km WSW of Talkeetna, Alaska",earthquake
2015-06-29T19:18:00.490Z,35.669,-89.6191667,0.63,2.52,md,18,132,0.09724,0.29,nm,nm60081617,2015-06-29T20:14:10.453Z,"11km NNE of Covington, Tennessee",earthquake
2015-06-29T19:15:38.910Z,33.2411667,-116.7701667,10.803,1.28,ml,40,45,0.01087,0.16,ci,ci37193943,2015-06-29T19:26:31.540Z,"1km W of Lake Henshaw, California",earthquake
2015-06-29T19:13:19.852Z,37.696,-117.6516,0,1.14,ml,13,91.85,0.463,0.1151,nn,nn00500270,2015-06-29T22:50:47.835Z,"36km W of Goldfield, Nevada",earthquake
2015-06-29T19:10:30.000Z,33.0355,-116.4308333,8.995,1.1,ml,32,33,0.1433,0.2,ci,ci37193927,2015-06-29T19:21:18.910Z,"17km ESE of Julian, California",earthquake
2015-06-29T19:03:04.680Z,36.5221672,-120.8401642,17.68,1.51,md,4,185,0.1457,0,nc,nc72474391,2015-06-29T19:04:40.440Z,"42km ENE of Greenfield, California",earthquake
2015-06-29T18:43:53.940Z,34.0488333,-117.3456667,0.019,1.12,ml,12,107,0.04998,0.18,ci,ci37193911,2015-06-30T01:39:31.760Z,"3km WNW of Grand Terrace, California",quarry blast
2015-06-29T18:39:59.490Z,37.1519,-117.38,12.3521,1.29,ml,15,128.64,0.155,0.1094,nn,nn00500265,2015-06-29T22:35:03.399Z,"61km WNW of Beatty, Nevada",earthquake
2015-06-29T18:37:50.630Z,35.8463333,-117.6906667,5.237,0.56,ml,10,87,0.07112,0.24,ci,ci37193895,2015-06-29T18:41:49.616Z,"22km ESE of Little Lake, California",earthquake
2015-06-29T18:34:30.670Z,35.6471672,-120.9443359,6.37,1.24,md,12,136,0.04349,0.06,nc,nc72474341,2015-06-29T18:36:06.200Z,"10km SSW of Lake Nacimiento, California",earthquake
2015-06-29T18:34:05.000Z,61.0903,-150.3008,35.2,1.2,ml,,,,0.08,ak,ak11637926,2015-06-29T18:49:26.598Z,"25km WSW of Anchorage, Alaska",earthquake
2015-06-29T18:19:59.020Z,37.6695,-119.4325,17.22,1.73,md,21,145,0.2824,0.11,nc,nc72474316,2015-06-29T23:21:09.760Z,"15km ESE of Yosemite Valley, California",earthquake
2015-06-29T18:18:22.000Z,61.236,-151.8433,109.2,2.3,ml,,,,0.71,ak,ak11637920,2015-06-29T18:49:23.204Z,"67km NNW of Nikiski, Alaska",earthquake
2015-06-29T18:06:23.790Z,38.8059998,-122.8225021,3.04,0.88,md,14,120,0.00595,0.02,nc,nc72474306,2015-06-29T18:08:00.030Z,"6km WNW of The Geysers, California",earthquake
2015-06-29T17:42:43.590Z,27.8834,85.7279,10,4,mb,,112,0.403,1.04,us,us10002mfa,2015-06-29T21:17:21.142Z,"23km WSW of Kodari, Nepal",earthquake
2015-06-29T17:38:06.000Z,62.1244,-152.5604,0.1,1.3,ml,,,,0.42,ak,ak11637917,2015-06-29T18:00:02.337Z,"129km W of Talkeetna, Alaska",earthquake
2015-06-29T17:34:54.000Z,60.4158,-146.4335,23.3,1.3,ml,,,,0.75,ak,ak11637915,2015-06-29T17:47:44.668Z,"39km WSW of Cordova, Alaska",earthquake
2015-06-29T17:33:31.760Z,38.8191681,-122.8000031,3.72,0.39,md,9,96,0.008928,0.02,nc,nc72474296,2015-06-29T17:35:05.730Z,"5km NW of The Geysers, California",earthquake
2015-06-29T17:32:01.820Z,38.8041649,-122.82267,2.46,1.23,md,18,137,0.006922,0.03,nc,nc72474291,2015-06-29T17:33:35.750Z,"6km WNW of The Geysers, California",earthquake
2015-06-29T17:16:34.520Z,32.4575,-115.5893333,4.308,1.16,ml,12,169,0.2236,0.23,ci,ci37193775,2015-06-29T17:20:28.743Z,"14km S of Progreso, B.C., MX",earthquake
2015-06-29T17:10:23.570Z,44.4198333,-110.5041667,3.93,0.52,md,10,87,0.041,0.11,uu,uu60115772,2015-06-29T17:52:31.790Z,"26km E of Old Faithful Geyser, Wyoming",earthquake
2015-06-29T17:06:24.530Z,38.840168,-122.8273315,2.56,0.57,md,9,99,0.006561,0.03,nc,nc72474276,2015-06-29T17:08:00.600Z,"9km WNW of Cobb, California",earthquake
2015-06-29T17:05:16.200Z,18.7794,-64.6632,40,3.2,Md,13,237.6,0.36381769,0.23,pr,pr15180007,2015-06-30T01:08:08.107Z,"40km N of Road Town, British Virgin Islands",earthquake
2015-06-29T16:59:29.770Z,33.2556667,-115.634,2.273,2.2,ml,35,43,0.05164,0.17,ci,ci37193743,2015-06-30T01:01:58.601Z,"11km W of Niland, California",earthquake
