time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-05-29T09:59:59.800Z,27.9587,84.7605,10,4.8,mb,,42,0.549,1.06,us,us20002kau,2015-05-30T03:21:51.741Z,"44km NE of Bharatpur, Nepal",earthquake
2015-05-27T07:30:58.600Z,27.4089,84.7608,10,4.4,mb,,164,0.578,1.21,us,us10002cg5,2015-05-28T03:51:20.356Z,"26km W of Hitura, Nepal",earthquake
2015-05-26T17:07:16.720Z,28.1118,85.0713,33.82,4.5,mb,,98,0.452,1.06,us,us10002c8p,2015-05-30T00:10:16.272Z,"51km NNW of Kathmandu, Nepal",earthquake
2015-05-26T14:15:30.410Z,27.2565,85.1024,10,3.8,mb,,198,0.492,1.5,us,us10002ccn,2015-05-27T00:17:53.737Z,"20km SSE of Hitura, Nepal",earthquake
2015-05-24T21:38:41.110Z,28.1482,84.6655,10,4.3,mb,,163,11.217,0.89,us,us10002bye,2015-05-28T15:26:47.562Z,"30km ESE of Lamjung, Nepal",earthquake
2015-05-22T19:07:41.880Z,29.7964,81.6896,10,4.3,mb,,82,3.8,0.93,us,us10002blt,2015-05-25T16:38:13.207Z,"71km SE of Burang, China",earthquake
2015-05-22T11:45:46.690Z,27.4367,85.9602,10,4.2,mb,,175,5.073,0.85,us,us10002bd0,2015-05-23T11:54:27.253Z,"17km NW of Ramechhap, Nepal",earthquake
2015-05-22T10:59:33.520Z,28.0074,84.9701,10,4.7,mb,,128,0.424,1.28,us,us10002bcr,2015-05-22T12:02:31.668Z,"47km NW of Kirtipur, Nepal",earthquake
2015-05-20T09:02:32.120Z,27.305,85.0317,10,4.4,mb,,165,5.871,0.64,us,us10002ar2,2015-05-26T11:51:44.142Z,"13km S of Hitura, Nepal",earthquake
2015-05-19T10:59:30.170Z,27.7297,85.7953,10,4.1,mb,,185,5.078,0.99,us,us10002ahe,2015-05-20T17:21:01.357Z,"27km E of Nagarkot, Nepal",earthquake
2015-05-18T22:49:50.720Z,27.6145,85.9286,10,4.4,mb,,165,12.448,0.59,us,us10002adq,2015-05-20T02:31:37.044Z,"35km NNW of Ramechhap, Nepal",earthquake
2015-05-17T05:45:37.780Z,27.4949,85.7729,10,4.3,mb,,166,5.195,0.93,us,us100029x0,2015-05-22T04:10:24.423Z,"27km ESE of Panaoti, Nepal",earthquake
2015-05-16T23:15:25.620Z,27.6742,85.9187,10,4.4,mb,,148,5.713,0.75,us,us100029vn,2015-05-17T15:44:24.023Z,"30km S of Kodari, Nepal",earthquake
2015-05-16T11:34:10.190Z,27.5457,86.0754,10,5.7,mb,,25,5.539,1,us,us100029rn,2015-05-22T08:34:05.245Z,"24km N of Ramechhap, Nepal",earthquake
2015-05-16T03:39:26.360Z,27.6104,85.6846,10,4.7,mb,,40,5.217,0.68,us,us100029pb,2015-05-28T03:39:20.885Z,"16km E of Banepa, Nepal",earthquake
2015-05-15T01:42:42.060Z,27.9336,84.7206,10,4.9,mb,,40,1.85,0.93,us,us1000295r,2015-05-28T04:01:52.566Z,"39km NE of Bharatpur, Nepal",earthquake
2015-05-14T14:36:42.200Z,28.2685,85.6465,10,3.8,mb,,168,1.074,1.37,us,us1000294u,2015-05-15T01:30:41.924Z,"34km WNW of Chongdui, China",earthquake
2015-05-13T21:38:05.430Z,27.6814,86.0274,6.39,5,mb,,40,0.747,0.73,us,us100028tz,2015-05-30T05:00:56.350Z,"31km SSE of Kodari, Nepal",earthquake
2015-05-13T10:59:41.940Z,27.8269,85.9937,10,4,mb,,104,0.735,0.77,us,us20002eza,2015-05-16T20:57:30.619Z,"14km SSE of Kodari, Nepal",earthquake
